family,repetition,workload,probe_n,target_n,status,exit_code,min_margin_bits,elapsed_seconds,run_directory,log,tally_flow,parameter_file
sequential-final-t65537-b5-k5-sequential-final,10,random,6,50000,passed,0,49.514773,4.17175029200007,experiments/validation/final-refresh-20260908/raw/20260908_184052_n6_b5_k5_T5_1302901130,experiments/validation/final-refresh-20260908/sequential-collective-n50000-q288-random-10.log,period-streaming-shared-mask-v2,parameters/aligned-final/sequential-final-t65537.json
sequential-final-t786433-b5-k5-sequential-final,20,balanced,6,500000,passed,0,81.827108,6.282160374998057,experiments/validation/final-refresh-20260908/raw/20260908_184714_n6_b5_k5_T5_514808674,experiments/validation/final-refresh-20260908/sequential-collective-n500000-q360p120-balanced-20.log,period-streaming-shared-mask-v2,parameters/aligned-final/sequential-final-t786433.json
sequential-final-t786433-b5-k5-sequential-final,21,carry,6,500000,passed,0,79.462537,6.245450833004725,experiments/validation/final-refresh-20260908/raw/20260908_184720_n6_b5_k5_T5_2407574409,experiments/validation/final-refresh-20260908/sequential-collective-n500000-q360p120-carry-21.log,period-streaming-shared-mask-v2,parameters/aligned-final/sequential-final-t786433.json
sequential-final-t786433-b5-k5-sequential-final,0,concentrated,6,500000,passed,0,81.097976,6.353312166000251,experiments/validation/final-refresh-20260908/raw/20260908_183115_n6_b5_k5_T5_474557272,experiments/validation/final-refresh-20260908/sequential-collective-n500000-q360p120-concentrated-0.log,period-streaming-shared-mask-v2,parameters/aligned-final/sequential-final-t786433.json
sequential-final-t786433-b5-k5-sequential-final,10,random,6,500000,passed,0,82.265574,6.339543083005992,experiments/validation/final-refresh-20260908/raw/20260908_184216_n6_b5_k5_T5_621423365,experiments/validation/final-refresh-20260908/sequential-collective-n500000-q360p120-random-10.log,period-streaming-shared-mask-v2,parameters/aligned-final/sequential-final-t786433.json
sequential-none-t65537-b5-k5-sequential-none,10,random,6,1000,passed,0,41.323522,13.601433750001888,experiments/validation/final-refresh-20260908/raw/20260908_183804_n6_b5_k5_T5_3789677944,experiments/validation/final-refresh-20260908/sequential-none-n1000-q416-random-10.log,period-streaming-shared-mask-v2,parameters/aligned-final/sequential-none-t65537.json
sequential-none-t65537-b5-k5-sequential-none,10,random,6,10000,passed,0,35.403881,14.155206041003112,experiments/validation/final-refresh-20260908/raw/20260908_183920_n6_b5_k5_T5_4029338592,experiments/validation/final-refresh-20260908/sequential-none-n10000-q416-random-10.log,period-streaming-shared-mask-v2,parameters/aligned-final/sequential-none-t65537.json
sequential-none-t786433-b5-k5-sequential-none,10,random,6,100000,passed,0,47.904054,13.331028082997364,experiments/validation/final-refresh-20260908/raw/20260908_184120_n6_b5_k5_T5_434783465,experiments/validation/final-refresh-20260908/sequential-none-n100000-q480-random-10.log,period-streaming-shared-mask-v2,parameters/aligned-final/sequential-none-t786433.json
sequential-none-t65537-b5-k5-sequential-none,10,random,6,200,passed,0,41.026703,13.680655500000285,experiments/validation/final-refresh-20260908/raw/20260908_183646_n6_b5_k5_T5_2909340141,experiments/validation/final-refresh-20260908/sequential-none-n200-q416-random-10.log,period-streaming-shared-mask-v2,parameters/aligned-final/sequential-none-t65537.json
sequential-none-t65537-b5-k5-sequential-none,10,random,6,25000,passed,0,31.245886,14.144478666996292,experiments/validation/final-refresh-20260908/raw/20260908_183959_n6_b5_k5_T5_597672988,experiments/validation/final-refresh-20260908/sequential-none-n25000-q416-random-10.log,period-streaming-shared-mask-v2,parameters/aligned-final/sequential-none-t65537.json
